qid,ndcg10,recall10,recall100,mrr,num_relevant
11787,0.0,0.0,1.0,0.07142857142857142,1
11789,1.0,1.0,1.0,1.0,2
11791,0.7977228895450266,1.0,1.0,1.0,2
118,0.0,0.0,1.0,0.03225806451612903,1
11807,0.21840743681816419,0.5,1.0,0.16666666666666666,2
11810,1.0,1.0,1.0,1.0,1
11821,0.9838048780283076,1.0,1.0,1.0,6
11828,1.0,1.0,1.0,1.0,1
11831,0.0,0.0,1.0,0.09090909090909091,2
11836,0.43067655807339306,1.0,1.0,0.25,1
1185,1.0,1.0,1.0,1.0,1
11851,0.38685280723454163,0.5,1.0,0.5,2
11852,1.0,1.0,1.0,1.0,1
11857,1.0,1.0,1.0,1.0,3
11860,0.8200261225503443,0.8,1.0,1.0,5
11871,0.5912352048230277,1.0,1.0,0.5,2
11873,0.23719771276929622,0.5,1.0,0.2,2
11874,1.0,1.0,1.0,1.0,1
11876,0.8318724637288826,0.75,1.0,1.0,4
11882,0.5,1.0,1.0,0.3333333333333333,1
11902,0.3562071871080222,1.0,1.0,0.16666666666666666,1
11905,0.0,0.0,1.0,0.05,1
11909,0.7653606369886217,0.6666666666666666,1.0,1.0,3
11911,0.45560514958746035,1.0,1.0,0.2,2
11916,0.9818483242455303,1.0,1.0,1.0,5
11918,1.0,1.0,1.0,1.0,1
11920,0.48160565320269266,0.6,1.0,0.5,5
11922,0.5855700749881525,0.5,0.75,1.0,4
11931,1.0,1.0,1.0,1.0,1
11935,0.6934264036172708,1.0,1.0,0.5,2
1194,1.0,1.0,1.0,1.0,2
11942,0.5,1.0,1.0,0.3333333333333333,1
11957,0.9709286432396583,1.0,1.0,1.0,4
11964,0.8048099750039491,0.75,1.0,1.0,4
1197,0.8358912271816661,0.75,0.875,1.0,8
11975,0.9217868789962071,1.0,1.0,1.0,3
1198,1.0,1.0,1.0,1.0,1
11984,0.617319681505689,0.6666666666666666,1.0,1.0,3
11992,1.0,1.0,1.0,1.0,1
11993,0.5437713091520254,1.0,1.0,0.3333333333333333,2
11997,1.0,1.0,1.0,1.0,4
12009,0.38685280723454163,1.0,1.0,0.2,1
12011,0.9197207891481876,1.0,1.0,1.0,2
12012,0.0,0.0,0.0,0.0,1
12014,0.7258641324729064,1.0,1.0,0.5,5
12017,1.0,1.0,1.0,1.0,1
12022,1.0,1.0,1.0,1.0,1
12034,0.6309297535714575,1.0,1.0,0.5,1
12037,0.4852658227346317,0.75,1.0,0.3333333333333333,4
12041,1.0,1.0,1.0,1.0,1
12051,0.46927872602275644,0.3333333333333333,1.0,1.0,3
12057,0.4808659172767282,0.6,0.8,0.5,5
12063,1.0,1.0,1.0,1.0,2
12066,0.9197207891481876,1.0,1.0,1.0,2
1207,0.6364391809889587,0.6666666666666666,1.0,1.0,3
12082,0.7036997876179215,1.0,1.0,0.5,4
12094,0.6509209298071326,1.0,1.0,0.5,2
12104,1.0,1.0,1.0,1.0,3
12116,0.369453583111095,0.5,0.5,0.5,4
12129,0.32703966649239957,0.4,0.8,0.5,5
12138,1.0,1.0,1.0,1.0,1
